idn,titel,jahr,verfasser,gnd_id,Geburtsdatum,Geburtsort,Beruf oder Beschäftigung,urn,verlag,verlagsort
999489119,Die Hochzeit des Mönchs,1925,"Meyer, Conrad Ferdinand",118581775,1825-10-11,Zürich,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010011391,Haessel,Leipzig
,,,,,,,Lyriker,,,
,,,,,,,Übersetzer,,,
,,,,,,,Zeichner,,,
,,,,,,,Lyriker,,,
999783203,Die Marquise von O,1925,"Kleist, Heinrich von",118563076,1777-10-18,Frankfurt (Oder),Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010012692,Hädecke,Stuttgart
,,,,,,,Librettist,,,
,,,,,,,Lyriker,,,
1000738140,Gedichte,1925,"Uhland, Ludwig",118625063,1787-04-26,Tübingen,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010031002,Dt. Bibliothek,Berlin
,,,,,,,Literarhistoriker,,,
,,,,,,,Hochschullehrer,,,
,,,,,,,Librettist,,,
,,,,,,,Germanist,,,
,,,,,,,Jurist,,,
,,,,,,,Politiker,,,
,,,,,,,Abgeordneter,,,
999636413,Pole Poppenspäler,1925,"Storm, Theodor",118618725,1817-09-14,Husum (Kreis Nordfriesland),Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010011917,Gebr. Paetel,Berlin
,,,,,,,Lyriker,,,
,,,,,,,Jurist,,,
,,,,,,,Librettist,,,
1000061701,Der abenteuerliche Simplizissimus,1924,"Grimmelshausen, Hans Jakob Christoffel von",118542273,1622,Gelnhausen,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020887,Hesse & Becker,Leipzig
,,,,,,,Erzähler,,,
,,,,,,,Librettist,,,
1000738701,Der zerbrochene Krug,1924,"Kleist, Heinrich von",118563076,1777-10-18,Frankfurt (Oder),Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010031015,Tillgner,Wien
,,,,,,,Librettist,,,
,,,,,,,Lyriker,,,
1000025942,Die Narrenburg,1924,"Stifter, Adalbert",118618156,1805-10-23,Horní Planá,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020541,Reclam,Leipzig
,,,,,,,Künstler,,,
,,,,,,,Lehrer,,,
,,,,,,,Schulrat,,,
,,,,,,,Redakteur,,,
99945742X,Fräulein Else,1924,"Schnitzler, Arthur",118609807,1862-05-15,Wien,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010011217,P. Zsolnay,Berlin
,,,,,,,Dramatiker,,,
,,,,,,,Arzt,,,
999784315,Kleider machen Leute,1924,"Keller, Gottfried",11856109X,1819-07-19,Zürich,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010012665,Comenius-Verl.,Berlin
,,,,,,,Librettist,,,
,,,,,,,Maler,,,
,,,,,,,Lyriker,,,
,,,,,,,Lyriker,,,
1000039358,Krambambuli und andere Dorf- und Schloßgeschichten,1924,"Ebner-Eschenbach, Marie von",118528661,1830-09-13,Schloss Zdislawitz,Schriftstellerin,https://nbn-resolving.org/urn:nbn:de:101:2-2010020525,Gebr. Paetel,Berlin
,,,,,,,Dramatikerin,,,
,,,,,,,Freifrau,,,
999784137,Mozart auf der Reise nach Prag,1924,"Mörike, Eduard",118583107,1804-09-08,Ludwigsburg,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010012674,Eichholz & Schönfeld,München
,,,,,,,Lyriker,,,
,,,,,,,Liederdichter,,,
,,,,,,,Lyriker,,,
,,,,,,,Prosaist,,,
,,,,,,,Lehrer,,,
,,,,,,,Zeichner,,,
,,,,,,,Pfarrer,,,
,,,,,,,Übersetzer,,,
,,,,,,,Librettist,,,
1000721728,Der grüne Heinrich,1923,"Keller, Gottfried",11856109X,1819-07-19,Zürich,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010030932,Harz,Berlin
,,,,,,,Librettist,,,
,,,,,,,Maler,,,
,,,,,,,Lyriker,,,
,,,,,,,Lyriker,,,
1000743772,Es steht ein Berg in Feuer,1923,"Eichendorff, Joseph von",118529390,1788-03-10,Łubowice,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-20100310171,F. Heyder,Berlin
,,,,,,,Lyriker,,,
,,,,,,,Erzähler,,,
,,,,,,,Jurist,,,
,,,,,,,Übersetzer,,,
,,,,,,,Verwaltungsbeamter,,,
,,,,,,,Lyriker,,,
1000745015,"Lebensansichten des Kater Murr, nebst fragmentarischer Biographie des Kapellmeisters Johannes Kreisler in zufälligen Makulaturblättern",1923,"Hoffmann, E. T. A.",118552465,1776-01-24,Königsberg,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-20100310160,Propyläen-Verl.,Berlin
,,,,,,,Komponist,,,
,,,,,,,Kapellmeister,,,
,,,,,,,Zeichner,,,
,,,,,,,Jurist,,,
,,,,,,,Dirigent,,,
,,,,,,,Lyriker,,,
1000746003,Peter Schlemihls wundersame Geschichte,1923,"Chamisso, Adelbert von",118520040,1781-01-30,Schloss Boncourt (Ante),Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-20100310144,Propyläen-Verl.,Berlin
,,,,,,,Naturwissenschaftler,,,
,,,,,,,Schriftsteller,,,
,,,,,,,Offizier,,,
,,,,,,,Botaniker,,,
1000071596,Peterchens Mondfahrt,1923,"Bassewitz, Gerdt von",117750794,1878-01-04,Allewind (Hermaringen),Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020803,Klemm,Berlin
,,,,,,,Librettist,,,
,,,,,,,Schauspieler,,,
,,,,,,,Dramatiker,,,
,,,,,,,Schriftsteller,,,
999784641,"Scherz, Satire, Ironie und tiefere Bedeutung!",1923,"Grabbe, Christian Dietrich",118541102,1801-12-11,Detmold,Dramaturg,https://nbn-resolving.org/urn:nbn:de:101:2-2010012650,Wolff,München
,,,,,,,Dramatiker,,,
,,,,,,,Jurist,,,
,,,,,,,Beamter,,,
,,,,,,,Dramatiker,,,
999991469,Sterben,1923,"Schnitzler, Arthur",118609807,1862-05-15,Wien,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020354,S. Fischer,Berlin
,,,,,,,Dramatiker,,,
,,,,,,,Arzt,,,
999991566,Buch der Lieder,1922,"Heine, Heinrich",118548018,1797-12-13,Düsseldorf,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020345,Krabbe,Stuttgart
,,,,,,,Lyriker,,,
,,,,,,,Theaterkritiker,,,
,,,,,,,Lyriker,,,
,,,,,,,Dramatiker,,,
,,,,,,,Journalist,,,
,,,,,,,Kaufmann,,,
,,,,,,,Jurist,,,
,,,,,,,Komponist,,,
,,,,,,,Librettist,,,
,,,,,,,Schriftsteller,,,
1000745384,Gedichte,1922,"Mörike, Eduard",118583107,1804-09-08,Ludwigsburg,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-20100310151,K. A. E. Müller,Stuttgart
,,,,,,,Lyriker,,,
,,,,,,,Liederdichter,,,
,,,,,,,Lyriker,,,
,,,,,,,Prosaist,,,
,,,,,,,Lehrer,,,
,,,,,,,Zeichner,,,
,,,,,,,Pfarrer,,,
,,,,,,,Übersetzer,,,
,,,,,,,Librettist,,,
100266554X,Gedichte in Auswahl,1922,"Droste-Hülshoff, Annette von",118527533,1797-01-10,Münster (Westf),Schriftstellerin,https://nbn-resolving.org/urn:nbn:de:101:2-2010051908,C. F. Amelang,Leipzig
,,,,,,,Komponistin,,,
,,,,,,,Zeichnerin,,,
,,,,,,,Librettistin,,,
,,,,,,,Schriftstellerin,,,
999626892,Lucinde,1922,"Schlegel, Friedrich von",118607987,1772-03-10,Hannover,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010011960,Rösl,München
,,,,,,,Philosoph,,,
,,,,,,,Philologe,,,
,,,,,,,Kritiker,,,
,,,,,,,Literarhistoriker,,,
999489690,Penthesilea,1922,"Kleist, Heinrich von",118563076,1777-10-18,Frankfurt (Oder),Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010011386,Reclam,Leipzig
,,,,,,,Librettist,,,
,,,,,,,Lyriker,,,
999785087,Reineke Fuchs,1922,"Goethe, Johann Wolfgang von",118540238,1749-08-28,Frankfurt am Main,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010012646,Recht,München
,,,,,,,Publizist,,,
,,,,,,,Politiker,,,
,,,,,,,Jurist,,,
,,,,,,,Naturwissenschaftler,,,
,,,,,,,Theaterintendant,,,
,,,,,,,Maler,,,
,,,,,,,Zeichner,,,
1000095037,Der Alpenkönig und der Menschenfeind,1921,"Raimund, Ferdinand",118597914,1790-06-01,Wien-Mariahilf,Schauspieler,https://nbn-resolving.org/urn:nbn:de:101:2-2010020903,Insel-Verl.,Leipzig
,,,,,,,Dramatiker,,,
,,,,,,,Schriftsteller,,,
,,,,,,,Librettist,,,
1000776565,Der Landvogt von Greifensee,1921,"Keller, Gottfried",11856109X,1819-07-19,Zürich,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010031163,Insel-Verl.,Leipzig
,,,,,,,Librettist,,,
,,,,,,,Maler,,,
,,,,,,,Lyriker,,,
,,,,,,,Lyriker,,,
1000743306,Die Büchse der Pandora,1921,"Wedekind, Frank",118629867,1864-07-24,Hannover,Dramatiker,https://nbn-resolving.org/urn:nbn:de:101:2-20100310181,G. Müller,München
,,,,,,,Schauspieler,,,
,,,,,,,Schriftsteller,,,
,,,,,,,Liederdichter,,,
,,,,,,,Komponist,,,
,,,,,,,Journalist,,,
999633856,Michael Kohlhaas,1921,"Kleist, Heinrich von",118563076,1777-10-18,Frankfurt (Oder),Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010011944,Dt.-Meister-Verl.,München
,,,,,,,Librettist,,,
,,,,,,,Lyriker,,,
999625101,Dantons Tod,1920,"Büchner, Georg",118516906,1813-10-17,Goddelau,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010011981,Dt.-Meister-Verl.,München
,,,,,,,Dramatiker,,,
,,,,,,,Übersetzer,,,
,,,,,,,Arzt,,,
,,,,,,,Dramatiker,,,
999634003,Das vierte Gebot,1920,"Anzengruber, Ludwig",11850357X,1839-11-29,Wien,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010011933,Cotta,Stuttgart
,,,,,,,Schauspieler,,,
,,,,,,,Dramatiker,,,
1002666201,Franz Sternbalds Wanderungen,1920,"Tieck, Ludwig",12989432X,1773-05-31,Berlin,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010051919,Parcus,München
,,,,,,,Philologe,,,
,,,,,,,Lyriker,,,
,,,,,,,Dramatiker,,,
,,,,,,,Dramaturg,,,
,,,,,,,Übersetzer,,,
,,,,,,,Herausgeber,,,
,,,,,,,Librettist,,,
,,,,,,,Hofrat,,,
1000287998,Hans und Heinz Kirch,1920,"Storm, Theodor",118618725,1817-09-14,Husum (Kreis Nordfriesland),Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010021710,Insel-Verl.,Leipzig
,,,,,,,Lyriker,,,
,,,,,,,Jurist,,,
,,,,,,,Librettist,,,
1000740307,Kabale und Liebe,1920,"Schiller, Friedrich",118607626,1759-11-10,Marbach am Neckar,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010031047,Hendel,Berlin
,,,,,,,Dramatiker,,,
,,,,,,,Erzähler,,,
,,,,,,,Historiker,,,
,,,,,,,Hochschullehrer,,,
,,,,,,,Librettist,,,
,,,,,,,Arzt,,,
,,,,,,,Hochschullehrer,,,
1000061361,Prinzessin Brambilla,1920,"Hoffmann, E. T. A.",118552465,1776-01-24,Königsberg,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020890,Dt.-Meister-Verl.,München
,,,,,,,Komponist,,,
,,,,,,,Kapellmeister,,,
,,,,,,,Zeichner,,,
,,,,,,,Jurist,,,
,,,,,,,Dirigent,,,
,,,,,,,Lyriker,,,
998814423,Faust,1919,"Goethe, Johann Wolfgang von",118540238,1749-08-28,Frankfurt am Main,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2009120303,Amelang,Leipzig
,,,,,,,Publizist,,,
,,,,,,,Politiker,,,
,,,,,,,Jurist,,,
,,,,,,,Naturwissenschaftler,,,
,,,,,,,Theaterintendant,,,
,,,,,,,Maler,,,
,,,,,,,Zeichner,,,
1000065812,Im Hause des Kommerzienrates,1917,"Marlitt, E.",118731092,1825-12-05,Arnstadt,Sängerin,https://nbn-resolving.org/urn:nbn:de:101:2-2010020843,"Union, Dt. Verl.-Ges.",Stuttgart
,,,,,,,Schriftstellerin,,,
,,,,,,,Schriftstellerin,,,
,,,,,,,Schauspielerin,,,
1000065588,Der Golem,1916,"Meyrink, Gustav",118582046,1868-01-19,Wien,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020856,Wolff,Leipzig
,,,,,,,Bankier,,,
,,,,,,,Drehbuchautor,,,
,,,,,,,Übersetzer,,,
,,,,,,,Bankier,,,
,,,,,,,Dramatiker,,,
1000719413,Der G'wissenswurm,1916,"Anzengruber, Ludwig",11850357X,1839-11-29,Wien,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010030909,Cotta,Stuttgart
,,,,,,,Schauspieler,,,
,,,,,,,Dramatiker,,,
999461311,Des Lebens Überfluß,1916,"Tieck, Ludwig",12989432X,1773-05-31,Berlin,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010011282,Insel-Verl.,Leipzig
,,,,,,,Philologe,,,
,,,,,,,Lyriker,,,
,,,,,,,Dramatiker,,,
,,,,,,,Dramaturg,,,
,,,,,,,Übersetzer,,,
,,,,,,,Herausgeber,,,
,,,,,,,Librettist,,,
,,,,,,,Hofrat,,,
999989804,Die Söhne des Senators,1916,"Storm, Theodor",118618725,1817-09-14,Husum (Kreis Nordfriesland),Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020386,Gebr. Paetel,Berlin
,,,,,,,Lyriker,,,
,,,,,,,Jurist,,,
,,,,,,,Librettist,,,
1000047555,Unwiederbringlich,1916,"Fontane, Theodor",118534262,1819-12-30,Neuruppin,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020557,Cotta,Stuttgart
,,,,,,,Übersetzer,,,
,,,,,,,Schriftsteller,,,
,,,,,,,Kabarettist,,,
,,,,,,,Journalist,,,
,,,,,,,Kritiker,,,
,,,,,,,Theaterkritiker,,,
,,,,,,,Kriegsberichterstatter,,,
,,,,,,,Apotheker,,,
,,,,,,,Librettist,,,
,,,,,,,Historiker,,,
,,,,,,,Romancier,,,
1000743217,Sebastian in Traum,1915,"Trakl, Georg",118623575,1887-02-03,Salzburg,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010031099,Wolff,Leipzig
,,,,,,,Lyriker,,,
,,,,,,,Apotheker,,,
,,,,,,,Librettist,,,
999627252,L' Arrabbiata,1914,"Heyse, Paul",118550772,1830-03-15,Berlin,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010011952,Cotta,Stuttgart
,,,,,,,Librettist,,,
,,,,,,,Dramatiker,,,
,,,,,,,Übersetzer,,,
,,,,,,,Privatgelehrter,,,
,,,,,,,Lyriker,,,
1000070883,Das Kajütenbuch,1913,"Postl, Karl",118612476,1793-03-03,Popice,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020823,Insel-Verl.,Leipzig
1000776271,Der arme Spielmann,1913,"Grillparzer, Franz",118542192,1791-01-15,Wien,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010031175,Insel-Verl.,Leipzig
,,,,,,,Dramatiker,,,
,,,,,,,Lyriker,,,
,,,,,,,Finanzbeamter,,,
,,,,,,,Archivdirektor,,,
,,,,,,,Hofrat,,,
,,,,,,,Librettist,,,
,,,,,,,Lyriker,,,
1000046648,Der Dieb,1913,"Heym, Georg",118550683,1887-10-30,Hirschberg im Riesengebirge,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020584,Rowohlt,Leipzig
,,,,,,,Jurist,,,
,,,,,,,Librettist,,,
,,,,,,,Dramatiker,,,
999783831,Der goldene Topf,1913,"Hoffmann, E. T. A.",118552465,1776-01-24,Königsberg,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010012683,Wolff,Leipzig
,,,,,,,Komponist,,,
,,,,,,,Kapellmeister,,,
,,,,,,,Zeichner,,,
,,,,,,,Jurist,,,
,,,,,,,Dirigent,,,
,,,,,,,Lyriker,,,
1000783693,Der Heizer,1913,"Kafka, Franz",118559230,1883-07-03,Prag,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010031114,Wolff,Leipzig
,,,,,,,Jurist,,,
,,,,,,,Librettist,,,
,,,,,,,Schriftsteller,,,
,,,,,,,Lyriker,,,
999990012,Heidedorf und Weihnachtsabend,1913,"Stifter, Adalbert",118618156,1805-10-23,Horní Planá,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020375,Amelang,Leipzig
,,,,,,,Künstler,,,
,,,,,,,Lehrer,,,
,,,,,,,Schulrat,,,
,,,,,,,Redakteur,,,
999460560,Leben des vergnügten Schulmeisterlein Maria Wuz in Auenthal,1913,Jean Paul,118557211,1763-03-21,Wunsiedel,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010011268,Insel-Verl.,Leipzig
,,,,,,,Lyriker,,,
,,,,,,,Librettist,,,
1000746348,Leyer und Schwerdt,1913,"Körner, Theodor",118713507,1791-09-23,Dresden,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-20100310132,Morawe & Scheffelt,Berlin
,,,,,,,Lyriker,,,
,,,,,,,Dramatiker,,,
,,,,,,,Erzähler,,,
,,,,,,,Bergmann,,,
,,,,,,,Soldat,,,
,,,,,,,Librettist,,,
,,,,,,,Lyriker,,,
100003917X,Schillers Wallenstein,1913,"Schiller, Friedrich",118607626,1759-11-10,Marbach am Neckar,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020531,Dt. Bibliothek,Berlin
,,,,,,,Dramatiker,,,
,,,,,,,Erzähler,,,
,,,,,,,Historiker,,,
,,,,,,,Hochschullehrer,,,
,,,,,,,Librettist,,,
,,,,,,,Arzt,,,
,,,,,,,Hochschullehrer,,,
1000062104,Vor dem Sturm,1913,"Fontane, Theodor",118534262,1819-12-30,Neuruppin,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010020879,Cotta,Stuttgart
,,,,,,,Übersetzer,,,
,,,,,,,Schriftsteller,,,
,,,,,,,Kabarettist,,,
,,,,,,,Journalist,,,
,,,,,,,Kritiker,,,
,,,,,,,Theaterkritiker,,,
,,,,,,,Kriegsberichterstatter,,,
,,,,,,,Apotheker,,,
,,,,,,,Librettist,,,
,,,,,,,Historiker,,,
,,,,,,,Romancier,,,
1000775615,Der Tod des Tizian,1912,"Hofmannsthal, Hugo von",118552759,1874-02-01,Wien,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010031185,Insel-Verl.,Leipzig
,,,,,,,Dramatiker,,,
,,,,,,,Lyriker,,,
,,,,,,,Librettist,,,
,,,,,,,Essayist,,,
,,,,,,,Philologe,,,
,,,,,,,Lyriker,,,
1000778517,Die drei gerechten Kammacher,1903,"Keller, Gottfried",11856109X,1819-07-19,Zürich,Schriftsteller,https://nbn-resolving.org/urn:nbn:de:101:2-2010031131,Cotta,Stuttgart
,,,,,,,Librettist,,,
,,,,,,,Maler,,,
,,,,,,,Lyriker,,,
,,,,,,,Lyriker,,,
