"subject";"identifier";"type";"creator";"title";"volume";"edition";"publisher";"year";"format";"ISBN";"ISSN";"ISMN";"EAN/UPC";"binding/price";"language";"country";"date of publication";"description";"collective title";"links";"relation";"rights";"subject headings";"connected titles";"uniform title";"frequency";"wv number"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010060101, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010060101, IDN:1003104487";"Online-Ressource";"Goethe, Johann Wolfgang von [Verfasser]";"Egmont : ein Trauerspiel in fünf Aufzügen / J. W. von Goethe";"";"[Online-Ausg.]";"Paderborn : Schöningh";"1946";"92 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011375, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011375, IDN:999490184";"Online-Ressource";"Meyer, Conrad Ferdinand [Verfasser]";"Das Amulett / Conrad Ferdinand Meyer";"";"6. - 15. Tsd., [Online-Ausg.]";"Wiesbaden : Verl. Dt. Volksbücher";"1939";"69 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"K Kinder- und Jugendliteratur";"URN:urn:nbn:de:101:2-2010020564, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010020564, IDN:1000047377";"Online-Ressource";"Hoffmann, Heinrich [Verfasser]";"Der Struwwelpeter oder lustige Geschichten und drollige Bilder für Kinder von 3 - 6 Jahren / von Heinrich Hoffmann";"";"593. Aufl. [der Orig.-Ausg.], [Online-Ausg.]";"[Stuttgart] : [Loewe]";"1939";"24 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010021723, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010021723, IDN:1000290328";"Online-Ressource";"Kleist, Heinrich von [Verfasser]";"Der Zweikampf / Heinrich von Kleist";"";"[Online-Ausg.]";"Stuttgart : Kohlhammer";"1939";"40 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"K Kinder- und Jugendliteratur";"URN:urn:nbn:de:101:2-2010011995, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011995, IDN:99962461X";"Online-Ressource";"Spyri, Johanna [Verfasser]";"Heidi : eine Geschichte für Kinder und solche, die Kinder lieb haben / Johanna Spyri. Mit Bildern von Rudolf Münger";"";"[Ungekürzte Originalausg. von Heidis Lehr- und Wanderjahre und Heidi kann brauchen, was es gelernt hat], [Online-Ausg.]";"Zürich : Rascher";"1939";"225, 158 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"";"URN:urn:nbn:de:101:2-20100310115, URL:http://nbn-resolving.de/urn:nbn:de:101:2-20100310115, IDN:1000756300";"Online-Ressource";"";"Bd. 8. Die Wahlverwandschaften";"Bd. 8. Die Wahlverwandschaften";"";"";"1938";"302 S.";"";"";"";"";"";"ger";"";"";"";"";"";"http://d-nb.info/1000756149";"";"";"Online-Ausg.: 2010";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011233, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011233, IDN:999458884";"Online-Ressource";"Hofmannsthal, Hugo von [Verfasser]";"Der Schwierige : Lustspiel in drei Akten / von Hugo von Hofmannsthal";"";"6. Aufl., [Online-Ausg.]";"Wien : Bermann-Fischer";"1935";"191 S.";"";"";"";"";"";"ger";"XA-AT";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010020363, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010020363, IDN:999991159";"Online-Ressource";"Fontane, Theodor [Verfasser]";"Frau Jenny Treibel : Stine / Theodor Fontane";"";"[Online-Ausg.]";"Berlin-Schöneberg : Oestergaard";"1935";"311 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011904, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011904, IDN:999636863";"Online-Ressource";"Kleist, Heinrich von [Verfasser]";"Prinz Friedrich von Homburg : ein Schauspiel / von Heinrich von Kleist";"";"[Online-Ausg.]";"Langensalza ; Berlin ; Leipzig : J. Beltz";"1935";"80 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"Beltz' billige Bücher ; H. 20";"";"http://d-nb.info/578983893";"";"Heinrich Kleist von: Prinz Friedrich von Homburg ; Deutschunterricht ; Lehrmittel";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011271, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011271, IDN:999460919";"Online-Ressource";"Rilke, Rainer Maria [Verfasser]";"Die Weise von Liebe und Tod des Cornets Christoph Rilke / von Rainer Maria Rilke";"";"451. - 500. Tsd., [Online-Ausg.]";"Leipzig : Insel-Verl.";"1934";"33 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010031197, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010031197, IDN:100079170X";"Online-Ressource";"Eichendorff, Joseph von [Verfasser]";"Das Marmorbild";"";"5. Aufl., [Online-Ausg.]";"Münster : Aschendorff";"1933";"95 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"Unsere Erzähler : 1933 ; Bd. 4";"";"http://d-nb.info/1274860105";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"S Schulbücher";"URN:urn:nbn:de:101:2-2010041508, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010041508, IDN:1001586859";"Online-Ressource";"Schiller, Friedrich [Verfasser]";"Maria Stuart : ein Trauerspiel / Friedrich von Schiller";"";"[Online-Ausg.]";"Paderborn : Schöningh";"1932";"128 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"Friedrich Schiller: Maria Stuart ; Deutschunterricht ; Lehrmittel";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010020575, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010020575, IDN:1000046974";"Online-Ressource";"Raabe, Wilhelm [Verfasser]";"Der Hungerpastor / Wilhelm Raabe";"";"Vollst. Ausg., [Online-Ausg.]";"Berlin : Knaur";"1931";"524 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011258, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011258, IDN:999460048";"Online-Ressource";"Raabe, Wilhelm [Verfasser]";"Die schwarze Galeere : geschichtliche Erzählung / Wilhelm Raabe";"";"1. - 10. Tsd., [Online-Ausg.]";"Berlin-Grunewald : Verl. Anst. Klemm";"1931";"95 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010030914, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010030914, IDN:1000721078";"Online-Ressource";"Horváth, Ödön von [Verfasser]";"Geschichten aus dem Wiener Wald : Volksstück in drei Teilen / von Ödön Horváth";"";"[Online-Ausg.]";"Berlin : Propyläen-Verl.";"1931";"143 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010020811, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010020811, IDN:1000071022";"Online-Ressource";"May, Karl [Verfasser]";"Tödlicher Staub : Erzählung aus dem wilden Westen / von Karl May";"";"1. - 10. Tsd., [Online-Ausg.]";"Leipzig : Hesse & Becker";"1931";"337 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010020509, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010020509, IDN:1000040275";"Online-Ressource";"Hebbel, Friedrich [Verfasser]";"Agnes Bernauer : ein deutsches Trauerspiel in fünf Aufzügen / von Friedrich Hebbel";"";"[Online-Ausg.]";"Berlin : Weltgeist-Bücher-Verl.-Ges.";"1930";"81 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010012630, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010012630, IDN:99979258X";"Online-Ressource";"Mörike, Eduard [Verfasser]";"Das Stuttgarter Hutzelmännlein : Märchen / von Eduard Mörike";"";"[Online-Ausg.]";"Berlin : Weltgeist-Bücher-Verl.-Ges.";"1930";"95 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010031129, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010031129, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010031129, IDN:1000779661";"Online-Ressource";"Fontane, Theodor [Verfasser] ; Lissauer, Ernst [Herausgeber]";"Gedichte / Theodor Fontane. Ausgew. und eingel. von Ernst Lissauer";"";"1. - 5. Tsd., [Online-Ausg.]";"Wiesbaden : Volksbildungsverein";"1930";"103 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"lizenzfrei";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010031032, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010031032, IDN:1000739368";"Online-Ressource";"Ludwig, Otto [Verfasser]";"Der Erbförster : Trauerspiel in fünf Aufzügen / von Otto Ludwig";"";"[Online-Ausg.]";"Berlin : Weltgeist-Bücher-Verl.-Ges.";"1929";"82 S. ; 18 cm";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-20100208102, URL:http://nbn-resolving.de/urn:nbn:de:101:2-20100208102, IDN:100006087X";"Online-Ressource";"Fontane, Theodor [Verfasser]";"Effi Briest : Roman / von Theodor Fontane";"";"Vollst. Ausg., [Online-Ausg.]";"Berlin : Knaur";"1929";"319 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"Preußen ; Adel ; Ehebruch ; Geschichte 1871-1890 ; Belletristische Darstellung";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011304, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011304, IDN:999500368";"Online-Ressource";"Meyer, Conrad Ferdinand [Verfasser]";"Gustav Adolfs Page / von Conrad Ferdinand Meyer";"";"[Online-Ausg.]";"Berlin : Weltgeist-Bücher-Verl.-Ges.";"1929";"56 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011293, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011293, IDN:999461842";"Online-Ressource";"Meyer, Conrad Ferdinand [Verfasser]";"Huttens letzte Tage / Conrad Ferdinand Meyer";"";"[Online-Ausg.]";"Leipzig : Insel-Verl.";"1929";"87 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-20100310101, URL:http://nbn-resolving.de/urn:nbn:de:101:2-20100310101, IDN:1000744264";"Online-Ressource";"Spee, Friedrich von [Verfasser]";"Trutz-Nachtigal oder geistliches poetisch Lustwäldlein : als noch nie zuvor in teutscher Sprach auff recht Poetisch gesehen ist ; allen geistlichen, gottliebenden Seelen und sonderlich der poetischen Kunst gelehrten Liebhabern zur Erquickung ; durch einen Priester der Societet Jesu ; anno 1634 / [Friedrich Spee]";"";"[Online-Ausg.]";"München : [Beck]";"1929";"VII, 290 S. ; 31 cm";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011354, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011354, IDN:999495755";"Online-Ressource";"Ebner-Eschenbach, Marie von [Verfasser]";"Das Gemeindekind : Erzählung / von Marie von Ebner-Eschenbach";"";"[Online-Ausg.]";"Leipzig : Hesse & Becker";"1928";"281 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010060110, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010060110, IDN:1003105009";"Online-Ressource";"Eichendorff, Joseph von [Verfasser] ; Lehmann, Wilhelm [Herausgeber]";"Das Schloß Dürande";"";"[Online-Ausg.]";"Paderborn : Schöningh";"1928";"93 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011332, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011332, IDN:999498703";"Online-Ressource";"Lessing, Gotthold Ephraim [Verfasser]";"Emilia Galotti : ein Trauerspiel in fünf Aufzügen / von G. E. Lessing";"";"[Online-Ausg.]";"Berlin : Weltgeist-Bücher-Verl.-Ges.";"1928";"71 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"";"URN:urn:nbn:de:101:2-2010012605, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010012605, IDN:999794043";"Online-Ressource";"";"Bd. 5. Die Leiden des jungen Werthers [u.a.]";"Bd. 5. Die Leiden des jungen Werthers [u.a.]";"";"";"1928";"475 S.";"";"";"";"";"";"ger";"";"";"";"";"";"http://d-nb.info/99979373X";"";"";"Online-Ausg.: 2010";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011248, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011248, IDN:999459716";"Online-Ressource";"Fontane, Theodor [Verfasser]";"Mathilde Möhring : Roman / von Theodor Fontane";"";"79. - 82. Tsd., [Online-Ausg.]";"Berlin : S. Fischer";"1928";"162 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010031057, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010031057, IDN:1000741796";"Online-Ressource";"Hauff, Wilhelm [Verfasser]";"Phantasien im Bremer Ratskeller : ein Herbstgeschenk für Freunde des Weines / von Wilhelm Hauff";"";"[Online-Ausg.]";"Berlin : Weltgeist-Bücher-Verl.-Ges.";"1928";"60 S. ; 18 cm";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010020320, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010020320, IDN:999992317";"Online-Ressource";"Stifter, Adalbert [Verfasser]";"Bergkristall / von Adalbert Stifter";"";"[Online-Ausg.]";"München ; Bad Wörishofen : Neuwihler";"1927";"101 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010031081, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010031081, IDN:1000742881";"Online-Ressource";"Kleist, Heinrich von [Verfasser]";"Das Käthchen von Heilbronn oder die Feuerprobe : ein großes historisches Ritterschauspiel / von Heinrich von Kleist";"";"[Online-Ausg.]";"Berlin : Weltgeist-Bücher-Verl.-Ges.";"1927";"109 S. ; 18 cm";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010031154, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010031154, IDN:1000777057";"Online-Ressource";"Droste-Hülshoff, Annette von [Verfasser]";"Die Judenbuche : ein Sittengemälde aus dem gebirgigen Westfalen / von Annette von Droste-Hülshoff";"";"[Online-Ausg.]";"Berlin : Weltgeist-Bücher-Verl.-Ges.";"1927";"60 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
"";"URN:urn:nbn:de:101:2-20100310123, URL:http://nbn-resolving.de/urn:nbn:de:101:2-20100310123, IDN:1000755495";"Online-Ressource";"";"2. Die schwarze Spinne";"2. Die schwarze Spinne";"";"";"1927";"S. 29 - 121";"";"";"";"";"";"ger";"";"";"";"";"";"http://d-nb.info/1000755096";"";"";"Online-Ausg.: 2010";"";"";"10,O10"
"830 Deutsche Literatur ; B Belletristik";"URN:urn:nbn:de:101:2-2010011316, URL:http://nbn-resolving.de/urn:nbn:de:101:2-2010011316, IDN:99950004X";"Online-Ressource";"Goethe, Johann Wolfgang von [Verfasser]";"Hermann und Dorothea : in neun Gesängen / von Johann Wolfgang von Goethe";"";"[Online-Ausg.]";"Berlin : Weltgeist-Bücher-Verl.-Ges.";"1927";"60 S.";"";"";"";"";"";"ger";"XA-DE";"";"";"";"";"";"";"";"Online-Ausg.: Leipzig ; Frankfurt, M. ; Berlin : Dt. Nationalbibliothek 2010. Online-Ressource";"";"";"10,O10"
